state1,state2,DOM_RTED,DOM_Levenshtein,DOM_contentHash,DOM_SIMHASH,VISUAL_BlockHash,VISUAL_PHash,VISUAL_Hyst,VISUAL_PDiff,VISUAL_SIFT,VISUAL_SSIM,TLSH_nativ,TLSH_hash2vec,Human
state50,state6,False,False,False,False,True,False,True,True,True,False,False,False,False
state50,state5,False,False,False,False,True,False,True,True,True,False,False,False,False
state50,state8,False,False,False,True,True,True,True,True,True,False,False,False,False
state50,state293,False,True,False,True,False,False,True,True,True,False,False,False,False
state50,state173,False,True,False,True,True,True,True,True,True,False,False,False,False
state50,state690,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state176,True,True,True,True,True,True,True,True,True,False,False,False,False
state50,state3,False,False,False,True,True,True,True,True,True,False,False,False,False
state50,state692,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state321,True,False,False,True,True,True,True,True,True,False,False,False,False
state50,state563,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state202,True,False,False,True,True,True,True,True,True,False,False,False,False
state50,state686,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state443,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state721,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state566,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state57,False,False,False,False,True,False,True,True,True,False,False,False,False
state50,state724,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state606,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state727,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state54,True,True,True,True,True,True,True,True,True,False,True,False,True
state50,index,False,False,False,True,True,True,True,True,True,False,False,False,False
state50,state180,False,True,False,True,True,True,True,True,True,False,False,False,False
state50,state187,True,False,False,True,True,True,True,True,True,False,False,False,False
state50,state583,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state340,False,True,False,True,False,False,True,False,True,False,False,False,False
state50,state211,True,True,True,True,True,True,True,True,True,False,False,False,False
state50,state331,False,True,False,True,False,False,True,True,True,False,False,False,False
state50,state455,False,True,False,True,False,False,True,True,True,False,False,False,False
state50,state697,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state575,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state459,True,False,False,True,True,True,True,True,True,False,False,False,False
state50,state216,True,False,False,True,True,True,True,True,True,False,False,False,False
state50,state619,False,True,False,True,True,True,True,True,True,False,False,False,False
state50,state196,True,True,True,True,True,True,True,True,True,False,False,False,False
state50,state593,False,True,False,True,False,False,True,False,True,False,False,False,False
state50,state464,False,True,False,True,False,False,True,False,True,False,False,False,False
state50,state344,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state501,False,False,False,True,True,True,True,True,True,False,False,False,False
state50,state589,False,True,False,True,False,False,True,False,True,False,False,False,False
state50,state346,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state349,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state624,False,False,False,True,True,True,True,True,True,False,False,False,False
state50,state504,False,True,False,True,False,False,True,False,True,False,False,False,False
state50,state33,False,True,False,True,True,True,True,True,True,False,False,False,False
state50,state506,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state39,False,False,False,False,False,False,True,False,True,False,False,False,False
state50,state38,False,True,False,True,True,False,True,True,True,False,False,False,False
state50,state508,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state233,False,True,False,True,False,False,True,False,True,False,False,False,False
state50,state199,True,True,True,True,True,True,True,True,True,False,False,False,False
state50,state355,False,True,False,True,False,False,True,False,True,False,False,False,False
state50,state29,False,True,False,True,True,True,True,True,True,False,False,False,False
state50,state597,True,True,True,True,False,False,True,True,True,False,False,False,False
state50,state479,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state512,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state239,False,True,False,True,False,False,True,True,True,False,False,False,False
state50,state514,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state634,False,True,False,True,True,True,True,True,True,False,False,False,False
state50,state24,False,False,False,False,True,False,True,True,True,False,False,False,False
state50,state517,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state638,False,False,False,True,True,True,True,True,True,False,False,False,False
state50,state27,False,False,False,False,True,False,True,True,True,False,False,False,False
state50,state493,False,True,False,True,True,True,True,True,True,False,False,False,False
state50,state252,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state243,True,True,True,True,True,True,True,True,True,False,False,False,False
state50,state364,False,True,False,True,False,False,True,True,True,False,False,False,False
state50,state400,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state520,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state523,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state247,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state489,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state249,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state403,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state526,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state647,False,True,False,True,True,True,True,True,True,False,False,False,False
state50,state529,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state10,True,True,True,True,True,True,True,True,True,False,True,False,True
state50,state407,True,True,True,True,False,True,True,True,True,False,False,False,False
state50,state16,False,False,False,True,True,True,True,True,True,False,False,False,False
state50,state409,False,True,False,True,False,False,True,True,True,False,False,False,False
state50,state141,False,True,False,True,True,False,True,True,True,False,False,False,False
state50,state143,True,True,True,True,True,True,True,True,True,False,False,False,False
