state1,state2,DOM_RTED,DOM_Levenshtein,DOM_contentHash,DOM_SIMHASH,VISUAL_BlockHash,VISUAL_PHash,VISUAL_Hyst,VISUAL_PDiff,VISUAL_SIFT,VISUAL_SSIM,TLSH_nativ,TLSH_hash2vec,Human
state50,state6,True,True,True,True,True,True,True,True,True,False,True,True,True
state50,state8,False,False,True,False,False,False,True,True,True,False,False,False,False
state50,state2,False,False,False,False,False,False,True,False,True,False,False,False,False
state50,state174,True,True,True,True,True,True,True,True,True,False,True,False,True
state50,state330,True,True,True,True,True,True,True,True,True,False,True,True,True
state50,state297,True,True,True,True,True,True,True,True,True,False,True,True,True
state50,state693,True,False,True,True,False,False,True,False,True,False,True,False,False
state50,state3,False,False,False,False,False,False,True,False,True,False,False,False,False
state50,state571,True,False,True,True,True,True,True,True,True,False,True,False,True
state50,state567,True,False,True,True,True,False,True,True,True,False,True,False,False
state50,state688,True,False,True,True,False,False,True,False,True,False,True,False,False
state50,state203,True,True,True,True,True,True,True,True,True,False,True,True,False
state50,state602,True,False,True,True,True,True,True,True,True,False,True,False,True
state50,state844,True,False,True,True,False,False,True,False,True,False,True,False,False
state50,state326,True,True,True,True,True,True,True,True,True,False,True,True,True
state50,state689,True,False,True,True,False,False,True,False,True,False,True,False,True
state50,state728,True,False,True,True,False,False,True,False,True,False,True,False,True
state50,state41,False,False,True,False,False,False,True,True,True,False,False,False,False
state50,index,False,False,False,False,False,False,True,False,True,False,False,False,False
state50,state184,True,True,True,True,True,True,True,True,True,False,True,False,False
state50,state210,True,True,True,True,True,True,True,True,True,False,True,True,True
state50,state452,True,False,True,True,True,True,True,True,True,False,True,False,True
state50,state573,True,False,True,True,True,True,True,True,True,False,True,False,False
state50,state179,True,True,True,True,True,True,True,True,True,False,True,True,True
state50,state850,True,False,True,True,False,False,True,False,True,False,True,False,True
state50,state215,True,True,True,True,True,True,True,True,True,False,True,False,False
state50,state732,True,False,True,True,False,False,True,False,True,False,True,False,False
state50,state852,True,False,True,True,False,False,True,False,True,False,True,False,True
state50,state612,True,False,True,True,True,True,True,True,True,False,True,False,True
state50,state733,True,False,True,True,False,False,True,False,True,False,True,False,True
state50,state614,True,False,True,True,True,False,True,True,True,False,True,False,False
state50,state194,True,True,True,True,True,True,True,True,True,False,True,True,True
state50,state230,True,True,True,True,True,True,True,True,True,False,True,False,True
state50,state101,True,True,True,True,True,True,True,True,True,False,True,False,True
state50,state466,True,False,True,True,True,True,True,True,True,False,True,False,True
