,TP,TN,FP,FN,Accuracy,Recall,Precision,F1
DOM_RTED,2417.0,5262.444444444444,3126.8888888888887,25.88888888888889,0.6712646524437023,0.9868556099664606,0.4513011730270273,0.5881677898741642
DOM_Levenshtein,2141.0,5725.222222222223,2664.1111111111113,301.8888888888889,0.6917149786746111,0.9148154595234984,0.4203065037446248,0.5549523192209714
DOM_contentHash,2413.5555555555557,3659.5555555555557,4729.777777777777,29.333333333333332,0.544482240503949,0.9853821188466778,0.35289868007634934,0.4876700695259988
DOM_SIMHASH,2438.4444444444443,2342.4444444444443,6046.888888888889,4.444444444444445,0.3970691019737582,0.9978201630008452,0.28708488667650944,0.42312506733769567
VISUAL_BlockHash,2041.3333333333333,5082.666666666667,3306.6666666666665,401.55555555555554,0.6129970617575582,0.8614559131450827,0.42549809883248524,0.5200524353260609
VISUAL_PHash,1610.0,4807.777777777777,3581.5555555555557,832.8888888888889,0.5732856425756159,0.7490603380560484,0.4356824927391434,0.46061895261900027
VISUAL_Hyst,2442.8888888888887,10.88888888888889,8378.444444444445,0.0,0.2296340758558899,1.0,0.2276401789184485,0.35332062321980817
VISUAL_PDiff,1947.7777777777778,4675.0,3714.3333333333335,495.1111111111111,0.583699494617809,0.8594299775058886,0.35945633413208644,0.4716791077451097
VISUAL_SIFT,2313.6666666666665,982.0,7407.333333333333,129.22222222222223,0.3009741447421874,0.9428239260637746,0.23882223482447051,0.3613555599145522
VISUAL_SSIM,179.44444444444446,7327.111111111111,1062.2222222222222,2263.4444444444443,0.693614818757658,0.1111111111111111,0.016057668406661695,0.028060116410390065
TLSH_nativ,2335.6666666666665,4464.222222222223,3925.1111111111113,107.22222222222223,0.601021232544578,0.9610161363070269,0.4035052386823881,0.5274542299667123
TLSH_hash2vec,651.7777777777778,8315.444444444445,73.88888888888889,1791.111111111111,0.8255157838552019,0.24575323409961264,0.8581462218430481,0.3026052763557682
